car_name,brand,model,variant,launch_year,body_type,seating_capacity,fuel_type,transmission_type,drivetrain,engine_displacement_cc,no_cylinder,turbocharged,max_power_bhp,max_power_rpm,max_torque_nm,max_torque_rpm,mileage_kmpl,city_mileage_kmpl,highway_mileage_kmpl,fuel_tank_capacity_liters,boot_space_liters,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,kerb_weight_kg,safety_rating,airbags_count,adas_level,abs,esc,hill_assist,tpms,sunroof,infotainment_size_inch,android_auto,apple_carplay,connected_car_tech,ventilated_seats,automatic_climate_control,cruise_control,drive_modes,rear_ac_vents,third_row_ac,alloy_wheels,led_headlamps,maintenance_score,reliability_score,resale_score,city_driving_score,highway_driving_score,family_comfort_score,feature_score,performance_score,economy_score,safety_score,premium_feel_score,offroad_score,ownership_cost_score,service_network_score,sales_last_month,waiting_period_days,starting_price,ending_price,ex_showroom_price_avg,on_road_price_avg,ncap_source,user_review_score,target_persona,best_use_case,worst_tradeoff
Maruti Brezza,Maruti Suzuki,Brezza,ZXI AT,2024,SUV,5,Petrol,Automatic,FWD,1462,4,No,101.65,6000,136.8,4400,19.8,17.2,21.5,48,328,198,3995,1790,1685,2500,1170,4.5,6,0,Yes,Yes,Yes,Yes,No,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,8,9,9,8,7,8,8,7,9,8,6,4,9,10,86,14,799000,1396000,1195000,1350000,Global NCAP,4.3,Family Buyer,City + Highway Family Usage,Average performance
Mahindra Thar,Mahindra,Thar,LX AT 4x4,2024,SUV,4,Diesel,Automatic,4WD,2184,4,Yes,130,3750,300,2800,15.2,12.8,16.5,57,226,226,3985,1820,1844,2450,1770,4.5,6,1,Yes,Yes,Yes,Yes,No,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,6,8,8,5,9,5,7,9,5,8,8,10,5,8,242,30,1353000,1603000,1480000,1720000,Global NCAP,4.5,Adventure Enthusiast,Offroad + Highway Usage,Poor rear-seat comfort
Hyundai i20,Hyundai,i20,Asta CVT,2024,Hatchback,5,Petrol,Automatic,FWD,1197,4,No,87,6000,114,4200,20.0,17.5,21.8,37,311,170,3995,1775,1505,2580,1055,3.5,6,0,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7,8,8,9,6,7,9,6,9,7,7,2,8,9,102,10,735000,1140000,980000,1110000,Global NCAP,4.2,City Commuter,Urban Daily Driving,Rear-seat space
Honda City,Honda,City,ZX CVT,2024,Sedan,5,Petrol,Automatic,FWD,1498,4,No,119,6600,145,4300,18.4,15.5,20.1,40,506,165,4583,1748,1489,2600,1153,5,6,1,Yes,Yes,Yes,Yes,Yes,8,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,7,9,9,7,9,10,8,8,8,10,8,2,8,9,64,21,1190000,1670000,1450000,1690000,ASEAN NCAP,4.6,Family Buyer,Comfort + Highway Touring,Low ground clearance
Tata Nexon,Tata,Nexon,Fearless Plus DCA,2024,SUV,5,Petrol,Automatic,FWD,1199,3,Yes,118,5500,170,1750,17.4,15.1,18.6,44,382,208,3995,1804,1620,2498,1235,5,6,1,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7,8,7,7,8,8,9,8,7,10,8,5,7,8,180,20,800000,1550000,1280000,1490000,Global NCAP,4.4,Safety-Focused Buyer,Family + Safety Priority,Average refinement
Mahindra Scorpio,Mahindra,Scorpio-N,Z8 AT 4x2,2024,SUV,7,Diesel,Automatic,RWD,2184,4,Yes,130,3750,300,2800,15.2,12.8,16.5,57,226,226,3985,1820,1844,2450,1770,4.5,6,1,Yes,Yes,Yes,Yes,No,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,6,8,8,5,9,5,7,9,5,8,8,10,5,8,242,30,1353000,1603000,1480000,1720000,Global NCAP,4.5,Adventure Enthusiast,Offroad + Highway Usage,Poor rear-seat comfort
Maruti Ertiga,Maruti Suzuki,Ertiga,ZXi AT,2024,MPV,7,Petrol,Automatic,FWD,1462,4,No,101.65,6000,136.8,4400,19.8,17.2,21.5,48,328,198,3995,1790,1685,2500,1170,4.5,6,0,Yes,Yes,Yes,Yes,No,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,8,9,9,8,7,8,8,7,9,8,6,4,9,10,86,14,799000,1396000,1195000,1350000,Global NCAP,4.3,Family Buyer,City + Highway Family Usage,Average performance
Hyundai Creta,Hyundai,Creta,SX AT,2024,SUV,5,Petrol,Automatic,FWD,1497,4,No,114.4,6300,143.8,4500,17.0,14.7,18.7,50,433,190,4280,1790,1635,2610,1180,4,6,0,Yes,Yes,Yes,Yes,No,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,8,7,8,8,9,7,8,8,7,2,7,8,175,25,1087000,1820000,1455000,1710000,Global NCAP,4.4,Family Buyer,City + Highway Family Usage,Average refinement
Kia Seltos,Kia,Seltos,SX CVT,2024,SUV,5,Petrol,Automatic,FWD,1497,4,No,114.4,6300,143.8,4500,17.0,14.7,18.7,50,433,190,4280,1790,1635,2610,1180,4,6,0,Yes,Yes,Yes,Yes,No,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,8,7,8,8,9,7,8,8,7,2,7,8,175,25,1087000,1820000,1455000,1710000,Global NCAP,4.4,Family Buyer,City + Highway Family Usage,Average refinement
Maruti Baleno,Maruti Suzuki,Baleno,Zeta AT,2024,Hatchback,5,Petrol,Automatic,FWD,1197,4,No,87,6000,114,4200,20.0,17.5,21.8,37,311,170,3995,1775,1505,2580,1055,3.5,6,0,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7,8,8,9,6,7,9,6,9,7,7,2,8,9,102,10,735000,1140000,980000,1110000,Global NCAP,4.2,City Commuter,Urban Daily Driving,Rear-seat space
